Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paxton Schultz","TOR",0.049800001084804535,0.0697999969124794,0.05689999833703041,5.149440050125122,0.24390000104904175,0.16089999675750732,0,0,,1,4.464000225067139,1.0544999837875366,0.6111000180244446,0.572160005569458,0.16766667366027832,0.4410000145435333,,0.04039999842643738,0.7422000169754028,6.6798001527786255,3.9690001308918,1.6829931802692413,1.5090000629425049,0.16626343628023454,0.09879032085776848,0.06747311542246606,0.2647767608168371,1.49549999833107,0.2886138039414017,0.7014779274612428,0.40355606517180614,,5.394507122039795,-0.00046640184326914334,,,,,,,,,2.6361999511718754,2.6361999511718754,2.8605332374572754,2.8605332374572754,,,,,,,,,,,,,,,,,,,"Paxton Schultz","25501",687606
"Bryce Bonnin",,0.047200001776218414,0.07349999994039536,0.0551999993622303,5.438879907131195,0.20679999887943268,0.1687999963760376,0,0,,1,4.540999889373779,1.076799988746643,0.644599974155426,0.6043199896812439,0.16288888454437256,0.5059999823570251,,0.048500001430511475,0.7343000173568726,6.608700156211853,4.553999841213226,1.4511858556523876,1.465999960899353,0.1617044781426179,0.11142919944594062,0.05027527869667728,0.2701116303145358,1.5827999711036682,0.2958300744444756,0.692523465875542,0.4160109103201422,,5.5674957752227785,-0.0004914403860574071,,,,,,,,,2.4018868327140814,2.4018868327140814,2.687544584274292,2.687544584274292,,,,,,,,,,,,,,,,,,,"Bryce Bonnin","sa3014453",675655
"Zack Trageton",,0.047600001096725464,0.06960000097751617,0.0478999987244606,5.278859853744507,0.3271999955177307,0.14319999516010284,0,0,,1,4.478000164031982,1.100100040435791,0.6266999840736389,0.5865399837493896,0.1631111055612564,0.42419999837875366,,0.042399998754262924,0.6916999816894531,6.225299835205078,3.817799985408783,1.6305987372302106,1.4679999500513077,0.15446626984190368,0.09472978625280014,0.05973648358910354,0.27424340496207067,1.5243000388145447,0.29683589191753296,0.6926223005341424,0.42300106546803606,,5.391884759813547,-0.000497780207037429,,,,,,,,,2.517073268443346,2.517073268443346,2.863155599683523,2.863155599683523,,,,,,,,,,,,,,,,,,,"Zack Trageton","sa918087",669454
"Gray Fenter",,0.04729999974370003,0.07429999858140945,0.05700000002980232,5.47227019071579,0.1754000037908554,0.1754000037908554,0,0,,1,4.5370001792907715,1.04830002784729,0.6460000276565552,0.6080300211906433,0.1724444478750229,0.5254999995231628,,0.043699998408555984,0.7904999852180481,7.114499866962433,4.729499995708466,1.5042816097723035,1.552000030875206,0.17423406523682788,0.1158254306274481,0.058408634609379784,0.26420181963100414,1.5738000273704529,0.2914800753672448,0.6963490381432086,0.3799873047588704,,5.623418205231428,-0.0004987123214713124,,,,,,,,,2.426753195375204,2.426753195375204,2.631622154265642,2.631622154265642,,,,,,,,,,,,,,,,,,,"Gray Fenter","sa875233",663383
"Aaron Brown","HOU",0.05260000005364418,0.06530000269412994,0.050200000405311584,5.279580295085907,0.29580000042915344,0.14980000257492065,0,0,,1,4.413000106811523,1.1045000553131104,0.6244999766349792,0.586620032787323,0.17933332920074463,0.3531000018119812,,0.03790000081062317,0.7113000154495239,6.401700139045715,3.177900016307831,2.014443533841377,1.6139999628067017,0.16118286839640522,0.08001359466703088,0.08116927372937434,0.27461462623105654,1.4576000571250916,0.2954514105682951,0.6904906926601133,0.4002807659481627,,5.336773616075516,-0.0005080724754021665,,,,,,,,,2.572099930047989,2.572099930047989,2.9182667434215546,2.9182667434215546,,,,,,,,,,,,,,,,,,,"Aaron Brown","sa3017500",676345
"Joelvis Del Rosario","OAK",0.04410000145435333,0.07620000094175339,0.059300001710653305,5.114340126514435,0.22660000622272491,0.16459999978542328,0,0,,1,4.439000129699707,1.1083999872207642,0.6100999712944031,0.5682600140571594,0.1514444500207901,0.38429999351501465,,0.048900000751018524,0.5914999842643738,5.323499858379364,3.458699941635132,1.539162097959452,1.363000050187111,0.13325072470867172,0.0865735486115005,0.046677176097171216,0.27669877421399786,1.4926999807357788,0.29328772855726665,0.6891663487980179,0.44389809992895113,,5.340418224036694,-0.0005268833725446274,,,,,,,,,2.5387932837009433,2.5387932837009433,2.9146221354603767,2.9146221354603767,,,,,,,,,,,,,,,,,,,"Joelvis Del Rosario","sa3008486",679052
"Kendall Williams","LAD",0.05130000039935112,0.0689999982714653,0.053199999034404755,5.505390107631683,0.2142000049352646,0.1671999990940094,0,0,,1,4.5370001792907715,1.1373000144958496,0.6545000076293945,0.6117100119590759,0.17188888788223267,0.44279998540878296,,0.049800001084804535,0.6316999793052673,5.685299813747406,3.9851998686790466,1.4266034329745882,1.546999990940094,0.13923296326693452,0.0975975243355626,0.04163543893137192,0.28120362977959196,1.5800999999046326,0.2978918022733079,0.6910270277563322,0.4532918626018131,,5.703995902836323,-0.0005713204374292503,,,,,,,,,2.114386640489102,2.114386640489102,2.5510444566607475,2.5510444566607475,,,,,,,,,,,,,,,,,,,"Kendall Williams","sa3011674",683086
"Nathan Kirby",,0.04919999837875366,0.06390000134706497,0.041099999099969864,4.941630005836487,0.4681999981403351,0.11320000141859055,0,0,,1,4.5289998054504395,1.0288000106811523,0.5906000137329102,0.5490700006484985,0.13555555045604706,0.552299976348877,,0.048900000751018524,0.7993000149726868,7.193700134754181,4.970699787139893,1.4472208024643927,1.2199999541044235,0.1764848861355142,0.12194744978443359,0.054537436351080604,0.261927810896919,1.5810999870300293,0.2984500818445215,0.7119127126899554,0.44699702816042836,,5.222262416779995,-0.0005965610602766294,,,,,,,,,2.8527868002653127,2.8527868002653127,3.0327779427170753,3.0327779427170753,,,,,,,,,,,,,,,,,,,"Nathan Kirby","sa874754",621403
"Steven Zobac","KCR",0.04500000178813934,0.07580000162124634,0.05209999904036522,5.594220042228699,0.20839999616146088,0.16840000450611115,0,0,,1,4.52400016784668,1.1383999586105347,0.6618000268936157,0.6215800046920776,0.16366666555404663,0.4426000118255615,,0.04309999942779541,0.6225000023841858,5.602500021457672,3.9834001064300537,1.4064617843470073,1.4729999899864197,0.13759946491789843,0.09783377440417491,0.039765690513723514,0.2819007786610096,1.5809999704360962,0.2997211819431145,0.6799486852144814,0.4096574028563123,,5.594807040691376,-0.0006380265146757633,,,,,,,,,2.2149600923061366,2.2149600923061366,2.6602333188056946,2.6602333188056946,,,,,,,,,,,,,,,,,,,"Steven Zobac","sa3020875",686632
"Mitch Stallings",,0.04839999973773956,0.06780000030994415,0.04659999907016754,5.180670082569122,0.3650999963283539,0.13510000705718994,0,0,,1,4.486000061035156,1.0821000337600708,0.6140999794006348,0.5756300091743469,0.16188888251781464,0.43650001287460327,,0.04960000142455101,0.7311000227928162,6.5799002051353455,3.9285001158714294,1.6749140921625698,1.4569999426603317,0.16297369880644025,0.09730272111808214,0.06567097768835811,0.2705317685733387,1.518600046634674,0.2961819985685483,0.70010150461525,0.399007654663382,,5.355695829540491,-0.0006527813789108414,,,,,,,,,2.599206659942866,2.599206659942866,2.899344529956579,2.899344529956579,,,,,,,,,,,,,,,,,,,"Mitch Stallings","sa3007835",657001
