Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2016,"Aaron Nola","PHI",111,6.110765134050546,,,,,3.349280591280955,,-6.187251817311672,,,-0.6821428769594663,,,"Aaron Nola",16149,605400
2016,"Brandon Finnegan","CIN",172,9.823224177126024,,,,,7.634351070985099,0.3187833836948836,,,,5.854924071523556,,,"Brandon Finnegan",16208,605232
2016,"Reynaldo López","WSN",44,8.78708733123483,,,,,,,-3.1507426346882736,,,5.950731603110709,,,"Reynaldo Lopez",16400,625643
2016,"Brock Stewart","LAD",28,7.177629937065972,,,,,3.65853667840725,1.7182278452040274,,,,3.8610000610351562,,,"Brock Stewart",16727,592779
2016,"Luke Weaver","STL",36.1,8.326324958801269,,5.181562460958958,,,,,-4.670943386149856,,,4.050666855320786,,,"Luke Weaver",16918,596133
2016,"Daniel Mengden","OAK",72,10.436569802485163,,,,,7.874891493055555,3.6308222699270374,-9.58876455513535,,,3.710400951151945,,,"Daniel Mengden",16980,596043
2016,"Raisel Iglesias","CIN",78.1,7.651180373297797,,,,,3.813593987430629,-0.487651516692807,,,,1.557349423328078,,,"Raisel Iglesias",17130,628452
2016,"Brian Ellington","MIA",33,9.246789664865654,,,,,,,-0.7703614292374577,,,5.145744810713098,,,"Brian Ellington",17233,623395
2016,"Jeff Hoffman","COL",31.1,8.786943977261767,,,,,,-1.5803703467051191,-8.932088076413333,,,5.584337257477174,,,"Jeff Hoffman",17432,656546
2016,"Aríel Miranda","- - -",58,9.157258096052773,,,6.047035094230406,,6.85253831423246,1.9307679931322734,,,,,,,"Ariel Miranda",17526,664641
2016,"Kenta Maeda","LAD",175.2,9.73229280884503,,,,,6.729847187898597,3.893714976087909,-8.082914092490403,,,5.268285696847098,,,"Kenta Maeda",18498,628317
2016,"Seunghwan Oh","STL",79.2,9.23099093967014,,,,,4.974999904632568,2.5775250244140624,-7.386000061035157,,,4.127333238389757,,,"Seunghwan Oh",18719,493200
2017,"Neftalí Feliz","- - -",46,9.792902666823307,,,,,,1.1859769714611204,,,,4.146380368401022,,,"Neftali Feliz",18,491703
2017,"Bartolo Colon","- - -",143,10.087065972222222,,9.98729487827846,,,5.830486103549651,3.1978036351950774,,,,5.387687614372185,,,"Bartolo Colon",375,112526
2017,"CC Sabathia","NYY",148.2,6.845645268758138,,7.973655635844547,,,7.051902742421582,1.430372001711002,,,,6.037660703554258,,,"CC Sabathia",404,282332
2017,"Fernando Rodney","ARI",55.1,10.0877562530281,,,,,6.746924767127404,2.329388754708426,,,,5.108172526041667,,,"Fernando Rodney",494,407845
2017,"Jason Grilli","- - -",40,9.308442231797681,,,,,5.465863386789958,-0.05231258683045114,,,,7.2604978561401365,,,"Jason Grilli",521,276351
2017,"Bronson Arroyo","CIN",71,7.448851634837963,,9.795171693313954,,,2.9047823588053387,7.572633374638918,3.985134337999806,,,4.768575032552083,,,"Bronson Arroyo",978,276520
2017,"Marco Estrada","TOR",186,13.500093434798272,,6.776983013067545,,,,,-5.918090333976593,,,11.467620288298646,,,"Marco Estrada",1118,462136
2017,"Tommy Hunter","TBR",58.2,9.229330718832673,,6.2383089258603235,,,6.802617561303828,,-2.425525120326451,,,,,,"Tommy Hunter",1157,488984
2017,"Matt Bush","TEX",52.1,10.823792363556338,,3.860129105417352,,,8.866863233927589,2.1281255086263022,-5.181261268028846,,,6.702714443206787,,,"Matt Bush",1246,456713
2017,"Adam Ottavino","COL",53.1,7.879683670343137,,5.678006362915039,,,5.904734706526753,-0.21238989579050163,,,,,,,"Adam Ottavino",1247,493603
2017,"Blake Wood","- - -",74.1,10.326717295545214,,,3.290980381752128,,9.403677089432085,3.759814242658944,0.42814624309539795,,,5.115180492401123,,,"Blake Wood",1345,502028
2017,"Joaquín Benoit","- - -",50.1,10.436717076222665,,,,,8.056881851024842,4.306231745967159,1.1554404497146606,,,4.7232412974039715,,,"Joaquin Benoit",1437,276542
2017,"John Lackey","CHC",170.2,9.185166718990544,,1.6840667276509083,,,4.721202989642539,,-1.2959459062029677,,,5.823085308074951,,,"John Lackey",1507,407793
2017,"Oliver Pérez","WSN",33,9.73281275972407,,,,,6.200161273662861,1.1439915895462036,,,,,,,"Oliver Perez",1514,424144
2017,"Sean Doolittle","- - -",51.1,11.768594727979862,,,9.57295663016183,,,2.471939967228816,-0.8581130504608154,,,,,,"Sean Doolittle",1581,448281
2017,"Francisco Rodríguez","DET",25.1,10.771158170299369,,,,,6.974590301513672,,-6.002361899928043,,,6.687630048764297,,,"Francisco Rodriguez",1642,408061
2017,"Matt Belisle","MIN",60.1,10.800397438226744,,,,,7.125516024502841,6.209375,-3.229766275281104,,,5.54022216796875,,,"Matt Belisle",1837,279571
2017,"Edwin Jackson","- - -",76,9.435424928491063,,,,,8.133385794503349,3.051358525486511,-2.2366592743817497,,,8.359638493235519,,,"Edwin Jackson",1841,429719
2017,"Ryan Madson","- - -",59,10.144791214554399,,,,,6.272854112598994,7.521449565887451,-6.2610479390846105,,,7.080989109650823,,,"Ryan Madson",1852,425492
2017,"Matt Moore","SFG",174.1,10.141138361019616,,8.874879034416614,,,,,,-2.181006085684919,,5.2466173401546685,,,"Matt Moore",1890,519043
2017,"Zack Greinke","ARI",202.1,10.307594920602606,,,,,8.57359550368618,2.235075958681778,-6.279726827085899,,-6.239507765997024,3.9605365496850298,,,"Zack Greinke",1943,425844
2017,"Iván Nova","PIT",187,8.70148937066641,,,,,5.247809380671506,,-2.4580915484512063,,,5.922034222146739,,,"Ivan Nova",1994,467100
2017,"Clayton Kershaw","LAD",175,13.40636347381162,,,,,11.83132817195012,7.416556880159198,-7.377974723149272,,,13.025743408203125,,,"Clayton Kershaw",2036,477132
2017,"Jorge De La Rosa","ARI",51.1,7.986242859806847,,5.0684039776141825,2.0231397416856556,,1.520426909128825,,-6.121842124245384,,,,,,"Jorge De La Rosa",2047,407822
2017,"Adam Wainwright","STL",123.1,8.671731492949695,,3.750189891374444,,,6.635782368977865,,-7.336432793157564,,-7.269992351531982,5.650849629532207,,,"Adam Wainwright",2233,425794
2017,"Blaine Boyer","BOS",41.1,9.14874882661095,,,,,7.0252172076512895,3.824715681902067,-5.452708118366745,,,,,,"Blaine Boyer",2237,430641
2017,"Héctor Rondón","CHC",57.1,10.046781099759615,,,,,6.590125955561156,1.8337681019673495,,,,4.60020991734096,,,"Hector Rondon",2391,444468
2017,"Corey Kluber","CLE",203.2,8.93238805315455,,3.837525507229478,,,5.8698733385603346,,2.2993652936324334,,,3.6931396484375,,,"Corey Kluber",2429,446372
2017,"Lance Lynn","STL",186.1,9.10794862689394,,4.816417347301137,,,5.281177122201493,,-3.4235759002483444,,,5.724465869721913,,,"Lance Lynn",2520,458681
2017,"Jhoulys Chacín","SDP",180.1,9.187703191348195,,,,,5.4243655414701255,2.1285485111956257,-1.3761256589727886,,,4.673641531808036,,,"Jhoulys Chacin",2608,468504
2017,"Brett Cecil","STL",67.1,9.19639658138452,,6.358734875190549,,,6.559674135188467,,,-1.1335171001960027,,5.364668846130371,,,"Brett Cecil",2660,446399
2017,"Rick Porcello","BOS",203.1,9.652259398653161,,,,,6.576201026119403,3.1756022135416666,-6.15019596603131,,,5.1186527781639235,,,"Rick Porcello",2717,519144
2017,"Santiago Casilla","OAK",59,9.926111691497093,,,,,7.054956815797362,6.2940084343282585,,-5.411732573487443,,5.657061518455039,,,"Santiago Casilla",2873,433586
2017,"Luis Avilán","LAD",46,10.07342529296875,,,,,7.6500680905963305,,-3.4106156632706925,,,4.282542509191177,,,"Luis Avilan",2882,501593
2017,"Zach McAllister","CLE",62,8.508762826492537,,6.022914409637451,,,6.369897684919724,,-1.1654571213647333,,,,,,"Zach McAllister",2895,502083
2017,"Jeff Locke","MIA",32,9.620364766725352,,,,,7.356488286232461,,,-3.2242578000438455,,6.889778527030109,,,"Jeff Locke",2929,502046
2017,"Kenley Jansen","LAD",68.1,,,10.90290031029671,,,12.346941398851799,0.27566359314737443,,,,,,,"Kenley Jansen",3096,445276
2017,"Tony Watson","- - -",66.2,,,,,,5.422375432199942,2.280657632010324,,,,5.959076563517253,,,"Tony Watson",3132,453265
2017,"Max Scherzer","WSN",200.2,9.734496552333805,,4.3274203916139244,,,5.821451594320576,2.0643751563095467,-3.395550417432598,,,2.2246971216872167,,,"Max Scherzer",3137,453286
2017,"David Price","BOS",74.2,10.572148872144295,,4.4481610224797175,,,7.811612548828125,,,-2.464348334770698,,5.871873423539473,,,"David Price",3184,456034
2017,"Will Harris","HOU",45.1,6.5768428129308365,,6.5263583096590905,,,,,-8.29190943791316,,,,,,"Will Harris",3192,501789
2017,"Chris Young","KCR",30,12.536884424467795,,,,,,6.680691256381498,,,,8.559311628341675,,,"Chris Young",3196,432934
2017,"Ervin Santana","MIN",211.1,11.564743528670263,,,,,9.089524810458787,5.033081975586756,,,,9.599153744775835,,,"Ervin Santana",3200,429722
2017,"Francisco Liriano","- - -",97,8.311962101735226,,,,,6.4181997137777955,2.956496160649744,-0.9396521250406901,,,5.14079559741377,,,"Francisco Liriano",3201,434538
2017,"T.J. McFarland","ARI",54,8.765913963317871,,,,,2.468121939147545,-0.5968542020182964,,,,1.882912422846822,,,"T.J. McFarland",3237,519008
2017,"Zack Britton","BAL",37.1,6.542556371444311,,,,,5.081396484375,-1.5037697822816911,,,,,,,"Zack Britton",3240,502154
2017,"Jeff Samardzija","SFG",207.2,9.408296130952381,,7.753034564810739,5.872171662390452,,6.506512354290675,5.450774001452896,,-3.0142796674364516,,,,,"Jeff Samardzija",3254,502188
2017,"Joe Smith","- - -",54,3.683109553173335,,,,,-1.4103376751854306,4.352828746533576,,,,-2.8704962730407715,,,"Joe Smith",3281,501925
2017,"Aníbal Sánchez","DET",105.1,10.855663055734537,,8.464813915651236,4.4941280001685735,,8.925498204748845,4.058470073499177,-0.8803579832378187,,,6.265798135237261,,,"Anibal Sanchez",3284,434671
2017,"Chris Hatcher","- - -",59.2,12.327681821034137,,10.938101904732841,6.867496472226375,,8.03826904296875,4.1531593568863405,1.2354120635986328,,,,,,"Chris Hatcher",3299,501822
2017,"Darren O'Day","BAL",60.1,4.308795739273998,,,,,-2.4766845703125,1.3427811817456317,1.9378007650375366,,,,,,"Darren O'Day",3321,503285
2017,"Matt Garza","MIL",114.2,10.389256743284372,,,,,8.827400594858023,2.159730967226739,-6.329564657211304,,,8.904123705083673,,,"Matt Garza",3340,490063
2017,"Ubaldo Jiménez","BAL",142.2,10.636088615058634,,10.044157277970086,4.693512316376086,,8.639239185572185,3.0346463349156036,-3.834143135764382,,,,,,"Ubaldo Jimenez",3374,434622
2017,"Jumbo Díaz","TBR",30,9.18631877234919,,,,,6.9745307335486775,1.3381071391858552,,,,,,,"Jumbo Diaz",3397,471822
2017,"Danny Duffy","KCR",146.1,10.575352570340302,,,,,10.131992681481032,0.02696718859420061,-7.704416910807292,,,7.265748948317308,,,"Danny Duffy",3542,518633
2017,"Liam Hendriks","OAK",64,10.977056017510053,,,,,8.384115811051993,3.665944814682007,-4.366680438701923,,,9.773007202148438,,,"Liam Hendriks",3548,521230
2017,"Clayton Richard","SDP",197.1,5.331084190898792,,,,,0.6808472813116585,-0.6693349601396548,,,,2.2471346768465907,,,"Clayton Richard",3551,453385
2017,"Tony Barnette","TEX",57.1,9.434008692564229,,4.306294037056367,3.3180764516194663,,6.035208499792851,,-4.179578485335896,,,,,,"Tony Barnette",3555,501817
2017,"Jim Johnson","ATL",56.2,10.182567857716181,,,,,7.525788698358051,,-4.921310598859316,,,4.980639913807744,,,"Jim Johnson",3656,462382
2017,"Ricky Nolasco","LAA",181,9.259740142308502,,,2.191004501276718,,5.774623092600335,-1.6174902865046707,,-7.768178693924216,,,,,"Ricky Nolasco",3830,445060
2017,"Edinson Volquez","MIA",92.1,10.538241241614855,,,,,7.382980392501877,,,-3.938686093151341,,2.973727036534317,,,"Edinson Volquez",3990,450172
2017,"Enny Romero","WSN",55.2,11.435835947554697,,10.812474060058594,,,,5.006126902927862,-0.06834542751312256,,,,,,"Enny Romero",4001,544836
2017,"Yusmeiro Petit","LAA",91.1,10.115029681533862,,8.94835710297361,,,8.829978942871094,,2.7113880101781693,,,8.746054766470927,,,"Yusmeiro Petit",4020,433589
2017,"Héctor Santiago","MIN",70.1,10.819108072916666,,6.613177959735577,,,11.384445996965681,1.6878290678325452,-0.6730616843863709,,-4.129793167114258,9.480288727429448,6.949779803936298,,"Hector Santiago",4026,502327
2017,"Brian Duensing","CHC",62.1,9.334270801419526,,,,,7.217620849609375,1.868183075435578,-6.839483330719663,,,6.073565314797794,,,"Brian Duensing",4064,488846
2017,"Pedro Strop","CHC",60.1,10.619451570273633,,,4.092570239712733,,8.531237860410911,0.7592403847453504,,,,,,,"Pedro Strop",4070,467008
2017,"Junichi Tazawa","MIA",55.1,10.285037769990808,,,,6.518409883445091,,-0.17795202136039734,-6.9185321514423075,,,,,,"Junichi Tazawa",4079,547749
2017,"Luke Gregerson","HOU",61,5.70634651184082,,,,,2.7778282586575607,0.06568233351901645,,,,2.715730667114258,,,"Luke Gregerson",4090,502381
2017,"Derek Holland","CHW",135,9.195465578001622,,,,,7.198911441084766,3.9013126766359485,,1.5930261991338748,,8.484698606004901,,,"Derek Holland",4141,502706
2017,"Jake Arrieta","CHC",168.1,9.659016927083334,,,,,7.1894157222471575,3.702747575254265,-5.632111378205129,,,3.50921630859375,,,"Jake Arrieta",4153,453562
2017,"Jered Weaver","SDP",42.1,10.90500259399414,,,,,8.934352011576186,5.150470581054687,0.8608479948125334,,,8.824203232587394,,,"Jered Weaver",4235,450308
