Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2014,"Neal Cotts","TEX",66.2,0.46268657,,0.00186567,,,0.06996269,0.45149254,,,,0.01399254,,,,"Neal Cotts",1797,425840
2014,"Matt Belisle","COL",64.2,0.55129434,,0.04602109,,,0.05848514,0.23969319,0.08053691,,,0.02396932,,,,"Matt Belisle",1837,279571
2014,"Edwin Jackson","CHC",140.2,0.52582728,,,,,0.06658596,0.26916868,0.08313156,,,0.05528652,,,,"Edwin Jackson",1841,429719
2014,"Jason Frasor","- - -",47.1,0.64484848,,,,,0.00606061,0.17575758,,,,0.17333333,,,,"Jason Frasor",1906,430630
2014,"Matt Thornton","- - -",36,0.60572337,,0.07154213,,,0.24960254,0.07313196,,,,,,,,"Matt Thornton",1918,407819
2014,"Zack Greinke","LAD",202.1,0.33520775,,0.0003124,,,0.20274914,0.19493908,0.10434239,,0.00124961,0.16119963,,,,"Zack Greinke",1943,425844
2014,"Iván Nova","NYY",20.2,0.33435583,,,,,0.32208589,,0.30368098,,,0.0398773,,,,"Ivan Nova",1994,467100
2014,"Buddy Carlyle","NYM",31,0.50107066,,,,,0.3254818,0.13490364,0.02141328,,,0.01713062,,,,"Buddy Carlyle",2010,234194
2014,"Clayton Kershaw","LAD",198.1,0.55381679,,,,,,0.29198473,0.14351145,,,0.01068702,,,,"Clayton Kershaw",2036,477132
2014,"Justin Masterson","- - -",128.2,0.28647925,,,,,0.53145917,0.18116912,,,,0.00089246,,,,"Justin Masterson",2038,475416
2014,"Jorge De La Rosa","COL",184.1,0.41145663,,0.28641571,0.26448445,,,0.00032733,0.03731588,,,,,,,"Jorge De La Rosa",2047,407822
2014,"Matt Guerrier","MIN",28,0.19767442,,0.27209302,,,0.42093023,,0.05348837,,,0.05581395,,,,"Matt Guerrier",2061,407825
2014,"Jose Veras","- - -",46,,,,0.13484487,,0.59427208,,0.27088305,,,,,,,"Jose Veras",2063,407842
2014,"Jeremy Guthrie","KCR",202.2,0.35885465,,0.08558979,,,0.09243697,0.14347961,0.08123249,,0.0043573,0.23404918,,,,"Jeremy Guthrie",2072,425386
2014,"Alfredo Simon","CIN",196.1,0.16789544,,0.11662198,0.16823056,,0.42560322,,0.10991957,,0.0113941,,0.00033512,,,"Alfredo Simon",2155,430580
2014,"Chad Qualls","HOU",51.1,,,,,,0.61538462,0.38171263,,,,0.00290276,,,,"Chad Qualls",2170,430589
2014,"Ronald Belisario","CHW",66.1,0.00948767,,,,,0.75711575,0.20398482,,,,0.02941176,,,,"Ronald Belisario",2203,430613
2014,"Adam Wainwright","STL",227,0.11279357,,0.30995056,,,0.2815204,,0.27688504,,,0.01885043,,,,"Adam Wainwright",2233,425794
2014,"Blaine Boyer","SDP",40.1,0.512,,,,,0.184,0.2016,0.0928,,,0.0096,,,,"Blaine Boyer",2237,430641
2014,"Brandon Gomes","TBR",34,0.0707635,,0.32774674,0.22905028,,0.25512104,0.10986965,0.00744879,,,,,,,"Brandon Gomes",2267,460156
2014,"Joel Peralta","TBR",63.1,0.38842975,,0.00642792,0.34251607,,,,0.26262626,,,,,,,"Joel Peralta",2332,407908
2014,"Anthony Varvaro","ATL",54.2,0.58948546,,,,,,,0.25055928,,,0.15995526,,,,"Anthony Varvaro",2385,460008
2014,"Héctor Rondón","CHC",63.1,0.49749248,,0.04513541,,,0.28686058,0.1664995,,,,0.00401204,,,,"Hector Rondon",2391,444468
2014,"Cory Rasmus","LAA",56,0.42009132,,,,,0.01255708,0.21689498,0.15068493,,,0.19977169,,,,"Cory Rasmus",2413,474284
2014,"Corey Kluber","CLE",235.2,0.02723624,,,,,0.49655963,0.27952982,0.15854358,,,0.03813073,,,,"Corey Kluber",2429,446372
2014,"Lance Lynn","STL",203.2,0.55284553,,,,,0.24970964,0.08826945,0.08391405,,,0.02526132,,,,"Lance Lynn",2520,458681
2014,"Eric Surkamp","CHW",24.1,0.29876543,,0.00246914,,,0.12592593,0.20246914,0.25432099,,,0.11604938,,,,"Eric Surkamp",2540,474668
2014,"Wandy Rodriguez","PIT",26.2,0.21412804,,,,,0.3200883,,0.32229581,,,0.14348786,,,,"Wandy Rodriguez",2586,434643
2014,"Jhoulys Chacín","COL",63.1,0.27886497,,0.03424658,,,0.24951076,0.17808219,0.13796477,,,0.12133072,,,,"Jhoulys Chacin",2608,468504
2014,"Scott Atchison","CLE",72,0.30166503,,0.00195886,,,0.00097943,0.52791381,0.16356513,,,0.00391773,,,,"Scott Atchison",2642,425786
2014,"Brian Matusz","BAL",51.2,0.52608213,,,,,0.02663707,0.26193119,0.07436182,,,0.11098779,,,,"Brian Matusz",2646,451085
2014,"Brett Cecil","TOR",53.1,0.34897025,,0.00572082,,,0.13844394,,0.44050343,,,0.06636156,,,,"Brett Cecil",2660,446399
2014,"Joba Chamberlain","DET",63,0.42996109,,,,,0.01070039,0.33365759,0.21595331,,,0.00972763,,,,"Joba Chamberlain",2692,501955
2014,"Rick Porcello","DET",204.2,0.2449786,,,,,0.34145538,0.12018439,0.15673362,,,0.13664801,,,,"Rick Porcello",2717,519144
