Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2016,"Carlos Martinez","STL",8.017065055171852,3.225256056678331,2.48571429,0.6911262978596423,0.21508035,0.08652658,0.12855377,0.23214285714285715,1.223549519914478,0.2857142857142857,0.79475983,74.57185959780324,88.4382310016598,92.31732704537244,3.040955710582426,3.6073112480827794,-0.5663555375003533,3.8113199836441334,3.9719022601037213,"Carlos Martinez",11682,593372
2015,"Wei-Yin Chen","BAL",7.196864876762669,1.928571633642284,3.73170732,1.3170733107800963,0.19318182,0.05176768,0.14141414,0.257372654155496,1.2177701643323906,0.2902654867256637,0.80482897,82.3107256047016,99.53010508922918,99.31201801690817,3.3397216094781017,4.157984102828964,-0.8182624933508622,4.0140137805184954,3.9716515147198677,"Wei-Yin Chen",13071,612672
2020,"Rafael Dolis","TOR",11.625005543234607,5.250002503396274,2.21428571,0.3750001788140196,0.31,0.14,0.17,0.18823529411764706,1.250000596046732,0.2830188679245283,0.74324324,32.61915537408028,68.12843126038514,90.0311780323214,1.5000007152560784,3.024752569198571,-1.5247518539424925,4.009642725559312,3.9712784221427917,"Rafael Dolis",4185,503569
2023,"Seth Lugo","SDP",8.610478659192433,2.2141230837923396,3.88888889,1.1685649608904014,0.23178808,0.05960265,0.17218543,0.24778761061946902,1.202733526998308,0.29802955665024633,0.76771654,85.11509218273696,88.01070184594717,85.81141995120059,3.567198301665436,3.8290722701098994,-0.2618739684444633,3.7568351433270974,3.970280197607866,"Seth Lugo",12447,607625
2022,"Jake Bird","COL",7.930070987790913,4.3426579218855,1.82608696,1.3216784979651521,0.19905213,0.10900474,0.09004739,0.24456521739130435,1.4265736168512753,0.2814814814814815,0.69131833,107.39368527053443,118.17183672697503,102.79165744224885,4.9090915638705654,4.958585094058977,-0.049493530188411405,4.105421897771929,3.9700110124805907,"Jake Bird",21267,656234
2014,"Mario Hollands","PHI",6.702130923395809,4.021278554037486,1.66666667,0.574468364862498,0.17156863,0.10294118,0.06862745,0.24725274725274726,1.4042560029972173,0.2916666666666667,0.66878981,121.65681053614945,102.49531539994844,111.10380102275231,4.404257463945818,3.876933382366041,0.5273240815797773,4.099025489980813,3.9695170562159166,"Mario Hollands",10504,571786
2022,"JT Brubaker","PIT",9.1875,3.375,2.72222222,1.0625,0.22755418,0.08359133,0.14396285,0.2692967409948542,1.4652777777777777,0.3341288782816229,0.68807339,113.35423425574183,98.02454826260423,97.08042828505239,4.6875,3.9179865572187635,0.7695134427812365,3.873914082037906,3.9688520861044756,"JT Brubaker",17578,664141
2018,"Daniel Hudson","LAD",8.608697079981445,3.5217397145378633,2.44444444,1.1739132381792878,0.22335025,0.09137056,0.1319797,0.21714285714285714,1.2173915062600023,0.256,0.67829457,106.80168995053847,109.19693111690489,106.6495815531012,4.108696333627507,4.377823082035149,-0.2691267484076416,4.333785998937055,3.968791581626557,"Daniel Hudson",7146,543339
2021,"Andrew Miller","STL",10.000002119276708,4.000000847710683,2.5,1.2500002649095885,0.24390244,0.09756098,0.14634146,0.2867132867132867,1.5833336688854787,0.3673469387755102,0.78181818,115.95422537850092,107.85287410348646,107.4309099801942,4.750001006656436,4.503367738370603,0.24663326828583365,4.560194439590839,3.968660005352154,"Andrew Miller",6785,453192
2020,"Charlie Morton","TBR",9.947368421052632,2.3684210526315788,4.2,0.9473684210526315,0.24705882,0.05882353,0.18823529,0.27564102564102566,1.394736842105263,0.35454545454545455,0.70038911,112.65592608048145,80.72867942374938,90.13953825188116,4.7368421052631575,3.454577210074977,1.2822648951881805,4.014437866995209,3.968588406081489,"Charlie Morton",4676,450203
2019,"Sonny Gray","CIN",10.52281399347034,3.4904943978340643,3.01470588,0.8726235994585161,0.28954802,0.0960452,0.19350283,0.19273301737756715,1.0836502215497912,0.25547445255474455,0.79676674,62.34655910013944,74.0304847631501,82.02067476401777,2.8745247982162883,3.4193326755806,-0.5448078773643119,3.645108179483041,3.968440714823827,"Sonny Gray",12768,543243
