Season,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
2020,"Mike Fiers","OAK",59,4.227447755634785,,,,,-1.5985371470451355,-0.22110672295093536,-1.767731074243784,,,-3.5345077626407146,,,"Mike Fiers",7754,571666
2020,"Josh Lindblom","MIL",45.1,-0.9366496875882149,,0.9521624445915222,1.0009039640426636,,,1.825748447328806,0.6594379395246506,,,-1.5629595145583153,,,"Josh Lindblom",7882,458676
2020,"Anthony Bass","TOR",25.2,0.22416536882519722,,,0.7602647840976715,,3.285344149917364,1.5076857395470142,,,,,,,"Anthony Bass",7982,542914
2020,"Brett Anderson","MIL",47,0.3962317071855068,,-0.2515752539038658,,,-3.8062831573188305,-0.5047220215201378,,0.5594485476613045,,1.687984138727188,,,"Brett Anderson",8223,474463
2020,"Tanner Roark","TOR",47.2,-4.840560983866453,,,,,-9.563287276774645,1.5331455431878567,-0.04599294438958168,,,-2.225045956671238,,,"Tanner Roark",8753,543699
2020,"Brad Hand","CLE",22,1.5752277486026287,,,,,0.7665351405739784,4.793297071009874,0.006987668573856354,,,,,,"Brad Hand",9111,543272
2020,"Nathan Eovaldi","BOS",48.1,-0.8729381412267685,,-4.135181717574596,0.29934393987059593,,,0.7106819190084934,2.8358893506228924,,,,,,"Nathan Eovaldi",9132,543135
2020,"Patrick Corbin","WSN",65.2,-5.271316897124052,,,,,-3.852721318602562,2.4522082656621933,-1.9323888272047043,,,1.1514144763350487,,,"Patrick Corbin",9323,571578
2020,"Jared Hughes","NYM",22.1,-3.2945448011159897,,,,,-1.8697370998561382,,0.3957829065620899,,,0.8788716942071915,,,"Jared Hughes",9325,453172
2020,"Josh Tomlin","ATL",39.2,0.5643725022673607,,4.647286262363195,,,-0.1671322099864483,,-2.331099770963192,,,0.23596280440688133,,,"Josh Tomlin",9388,458708
2020,"Dallas Keuchel","CHW",63.1,-0.09078007191419601,,9.071828812360764,,,0.4569162204861641,0.5132927037775517,,,,4.91583364084363,,,"Dallas Keuchel",9434,572971
2020,"Jeremy Jeffress","CHC",23.1,0.8577301204204559,,,3.616846092045307,,4.031894598156214,,,1.525965753942728,,,,,"Jeremy Jeffress",9490,502026
2020,"Garrett Richards","SDP",51.1,4.375889033079147,,,,,-2.293225757777691,2.508772850036621,-2.3219319321215153,,,,,,"Garrett Richards",9784,572070
2020,"Sergio Romo","MIN",20,0.03855708986520767,,,,,1.4149028025567532,2.2449267022311687,,,,-1.9356990568339825,,,"Sergio Romo",9817,489265
