Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2015,"Danny Farquhar","SEA",51,0.29439252,0.65552699,0.46634027,0.65079365,0.84313725,0.77952756,0.47613219,20.11320755,"Danny Farquhar",8501,543144
2014,"Nick Tropeano","HOU",21.2,0.26368159,0.65644172,0.43956044,0.62264151,0.87850467,0.79375,0.4478022,20.11070111,"Nick Tropeano",12385,607374
2023,"Vince Velasquez","PIT",37.1,0.28823529,0.66774194,0.46923077,0.56122449,0.82125604,0.73770492,0.47692308,20.11042945,"Vince Velasquez",11189,592826
2023,"Bryan Baker","BAL",45,0.2617801,0.68656716,0.47959184,0.7,0.83695652,0.80053191,0.5127551,20.11036789,"Bryan Baker",19804,641329
2018,"Nick Kingham","PIT",76,0.28374233,0.65490798,0.46932515,0.55135135,0.87119438,0.7745098,0.5,20.10654008,"Nick Kingham",11694,592468
2014,"David Holmberg","CIN",30,0.2166065,0.64435146,0.41472868,0.55,0.88311688,0.78971963,0.46317829,20.10597826,"David Holmberg",7725,571787
2021,"Taijuan Walker","NYM",159,0.25084746,0.63550037,0.45743429,0.62837838,0.84252874,0.78816467,0.53707336,20.10335642,"Taijuan Walker",11836,592836
2024,"Sam Moll","CIN",37.2,0.26573427,0.59763314,0.44551282,0.60526316,0.82673267,0.76618705,0.54166667,20.10212766,"Sam Moll",14874,594580
2023,"Fernando Cruz","CIN",66,0.31111111,0.68528864,0.49019608,0.41758242,0.79076087,0.66727273,0.47860963,20.10191847,"Fernando Cruz",7048,518585
2023,"Matt Strahm","PHI",87.2,0.30150754,0.65929779,0.50292826,0.54444444,0.8086785,0.73944687,0.56295754,20.10089021,"Matt Strahm",13799,621381
2018,"Robert Stock","SDP",39.2,0.22340426,0.59938838,0.42528736,0.50793651,0.84693878,0.76447876,0.53694581,20.09817352,"Robert Stock",6576,476594
2020,"Steven Matz","NYM",30.2,0.28526646,0.66242038,0.47235387,0.58241758,0.86538462,0.77926421,0.49605055,20.08997955,"Steven Matz",13361,571927
2023,"Chris Martin","BOS",51.1,0.37241379,0.72222222,0.58171745,0.67592593,0.84294872,0.8,0.59833795,20.08969466,"Chris Martin",11847,455119
2020,"Thomas Eshelman","BAL",34.2,0.25403226,0.63066202,0.45607477,0.6031746,0.93370166,0.84836066,0.5364486,20.08831169,"Thomas Eshelman",18361,664045
2016,"Pedro Strop","CHC",47.1,0.34577114,0.58153846,0.45116919,0.37410072,0.83597884,0.6402439,0.44704264,20.08380952,"Pedro Strop",4070,467008
2016,"Joe Musgrove","HOU",62,0.30192719,0.61013645,0.46326531,0.57446809,0.88498403,0.78854626,0.52346939,20.08154506,"Joe Musgrove",12970,605397
2024,"Enyel De Los Santos","- - -",64,0.28070175,0.72845528,0.5248227,0.49305556,0.79910714,0.72466216,0.54521277,20.08108108,"Enyel De Los Santos",18403,660853
2023,"Dauri Moreta","PIT",58,0.26131687,0.6302521,0.44386694,0.4015748,0.81,0.68852459,0.49480249,20.08033241,"Dauri Moreta",21101,664294
2021,"Matt Peacock","ARI",86.1,0.22575517,0.67285714,0.46124906,0.61267606,0.89171975,0.82707993,0.52671181,20.07013815,"Matt Peacock",20339,676840
2023,"Kevin Gausman","TOR",185,0.32987172,0.6773743,0.49201694,0.53518519,0.8443299,0.73377483,0.4666015,20.06797386,"Kevin Gausman",14107,592332
2020,"Alex Young","ARI",46.1,0.31529412,0.69354839,0.49184442,0.6119403,0.8372093,0.76020408,0.46675031,20.06779661,"Alex Young",18333,622065
2024,"Bryan Hudson","MIL",62.1,0.26010101,0.63276836,0.47357066,0.54368932,0.88392857,0.80410023,0.57281553,20.06628242,"Bryan Hudson",19924,663542
2023,"George Kirby","SEA",190.2,0.35859821,0.68523154,0.54336283,0.64545455,0.86027397,0.79869707,0.56566372,20.05393586,"George Kirby",25436,669923
2023,"Will Smith","TEX",57.1,0.34101382,0.65967366,0.49942063,0.5,0.8409894,0.72389791,0.49710313,20.05345912,"Will Smith",8048,519293
2024,"Jordan Weems","WSN",41.2,0.24786325,0.70680628,0.48703956,0.62068966,0.9,0.83193277,0.52114598,20.05223881,"Jordan Weems",13190,607179
2023,"Bryan Abreu","HOU",72,0.28502415,0.62033898,0.44838976,0.35028249,0.75409836,0.62246777,0.48720066,20.05183585,"Bryan Abreu",16609,650556
2021,"Hoby Milner","MIL",21.2,0.28313253,0.60352423,0.46819338,0.44680851,0.88321168,0.77173913,0.57760814,20.05154639,"Hoby Milner",13346,571948
2020,"Tarik Skubal","DET",32,0.29605263,0.71428571,0.49915398,0.58888889,0.8097561,0.74237288,0.4856176,20.04824561,"Tarik Skubal",22267,669373
2014,"Dallas Keuchel","HOU",200,0.28783959,0.60546075,0.44237795,0.58426966,0.90417136,0.7972973,0.48654932,20.04643527,"Dallas Keuchel",9434,572971
2018,"Jacob Nix","SDP",42.1,0.23509934,0.62146893,0.44359756,0.73239437,0.89090909,0.85223368,0.53963415,20.04535637,"Jacob Nix",17775,656798
2023,"Kirby Yates","ATL",60.1,0.29482759,0.64779874,0.45411542,0.50877193,0.81877023,0.70833333,0.4512772,20.04375,"Kirby Yates",9073,489446
2023,"Robert Garcia","- - -",32,0.3164557,0.65614035,0.50191571,0.64,0.82352941,0.77099237,0.54597701,20.04314721,"Robert Garcia",23363,676395
2016,"Vidal Nuño","SEA",58.2,0.26683292,0.69201521,0.50809061,0.71028037,0.87912088,0.84076433,0.56742179,20.04105572,"Vidal Nuno",9674,573064
2015,"Brett Anderson","LAD",180.1,0.28648649,0.60382707,0.45195861,0.65229111,0.92840376,0.84464432,0.52143385,20.04070981,"Brett Anderson",8223,474463
2024,"Zack Kelly","BOS",56.2,0.24944812,0.65674603,0.46394984,0.55752212,0.80664653,0.74324324,0.52664577,20.0362117,"Zack Kelly",20349,677161
2023,"Noah Davis","COL",30,0.2,0.67741935,0.47088186,0.57692308,0.87445887,0.81978799,0.56738769,20.03104213,"Noah Davis",25862,663562
2014,"Kyle Hendricks","CHC",80.1,0.32384342,0.63157895,0.48132059,0.71978022,0.88172043,0.82851986,0.51172893,20.03067485,"Kyle Hendricks",12049,543294
2019,"Andrew Suárez","SFG",32.2,0.28461538,0.66546763,0.48141264,0.67567568,0.9027027,0.83783784,0.51672862,20.02538071,"Andrew Suarez",18300,605498
2023,"Kaleb Ort","BOS",23,0.26395939,0.7037037,0.47927461,0.69230769,0.88721805,0.83243243,0.48963731,20.02508961,"Kaleb Ort",20061,672391
2014,"Eric O'Flaherty","OAK",20,0.27044025,0.58641975,0.42990654,0.55813953,0.89473684,0.78985507,0.5046729,20.02358491,"Eric O'Flaherty",5746,447714
2018,"Luis Castillo","CIN",169.2,0.29402757,0.67030717,0.49296283,0.53385417,0.799389,0.72474378,0.52869,20.02093476,"Luis Castillo",15689,622491
2022,"Rich Hill","BOS",124.1,0.28170595,0.62784349,0.47286432,0.65737052,0.85652174,0.80340064,0.55226131,20.02071823,"Rich Hill",4806,448179
2023,"Griffin Canning","LAA",127,0.28746177,0.65729828,0.48320537,0.46099291,0.84551724,0.73783515,0.52927063,20.01597444,"Griffin Canning",19867,656288
2022,"Cole Irvin","OAK",181,0.306847,0.69446391,0.51877395,0.67493113,0.86579213,0.81462334,0.5467433,20.01506186,"Cole Irvin",19244,608344
2023,"Matt Koch","COL",38.2,0.26335878,0.7191358,0.51535836,0.47826087,0.87553648,0.78476821,0.55290102,20.01421801,"Matt Koch",13420,571863
