Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2024,"Jordan Montgomery","ARI",117,3.5841618383715965,,,,,8.83108248670562,-1.0417288471670711,-2.01002988767061,,,6.139095602981526,,,"Jordan Montgomery",16511,656756
2024,"Austin Gomber","COL",165,4.952259200732514,,,,,8.562152862548828,-2.220698795274957,,-3.6911408616414247,,6.234787951614777,,,"Austin Gomber",16561,596295
2024,"Erik Swanson","TOR",39.1,-5.8587822441582205,,,-6.546419902912621,,,2.318695306777954,,,,,,,"Erik Swanson",16587,657024
2024,"Bryan Abreu","HOU",78.1,-4.140431873833955,,,,,,3.8233458588088767,,,,-7.763538360595703,,,"Bryan Abreu",16609,650556
2024,"Ryan Thompson","ARI",66.1,-7.745054931640625,,,,,-9.170189415684904,6.259062383279383,,,,,,,"Ryan Thompson",16647,657044
2024,"Tim Hill","- - -",67,11.193848609924316,,,,,10.043487774884259,2.010166317808862,,,,-9.41263198852539,,,"Tim Hill",16814,657612
2024,"Brennan Bernardino","BOS",51,,,0.1079736699660619,,,9.96280330657959,-1.492209059293153,-8.940644674743249,,,,,,"Brennan Bernardino",16835,657514
2024,"Reed Garrett","NYM",57.1,-5.577194779007523,,1.2340020804569638,-7.139688362752585,,-9.87012890625,7.246261518429487,,,,,,,"Reed Garrett",16866,657585
2024,"Luke Weaver","NYY",84,-4.246896921335398,,0.8636651808215726,,,,,,1.709020502427045,,-8.26778702222769,,,"Luke Weaver",16918,596133
2024,"Touki Toussaint","CHW",23,-5.750783819901316,,,-5.384366884336367,,-8.904279011051829,-1.3298327922821045,7.421405792236328,,,,,,"Touki Toussaint",16929,657053
2024,"Grant Holmes","ATL",68.1,-4.330699661015216,,-1.117104621160598,,,,0.1397702811676779,1.3213516097884994,,,-5.7276539007822675,,,"Grant Holmes",16944,656550
2024,"Trevor Williams","WSN",66.2,-3.3549621739744833,,,,,-8.951537139656008,4.7467041015625,,,,-9.697561594361034,,,"Trevor Williams",16977,592866
2024,"Tanner Banks","- - -",72.1,2.194827451810732,,,,,7.75630752486412,-1.9078508044282596,-6.567264513288225,,,7.52447714395081,,,"Tanner Banks",16990,621383
2024,"Sean Reid-Foley","NYM",21.2,-4.514184664575289,,,,,-8.291976928710938,1.8614452679951985,,,,-6.348518371582031,,,"Sean Reid-Foley",17034,656887
2024,"Pablo López","MIN",185.1,-3.691537370006178,,,,,-8.490138502425799,6.491221422066718,3.3197853037174916,,,-10.011986937865192,,,"Pablo Lopez",17085,641154
2024,"Raisel Iglesias","ATL",69.1,-5.171777898615057,,,,,-9.903631689714238,5.4525095621744795,,,,-10.01186095120614,,,"Raisel Iglesias",17130,628452
2024,"Domingo Germán","PIT",20.2,-5.501264124108641,,,,,-9.887186527252197,,0.663416616378292,,,-9.127281915573846,,,"Domingo German",17149,593334
2024,"Gabe Speier","SEA",23.2,5.812644491390306,,,,,10.233921595982142,-1.798818780470264,,,,8.932812372843424,,,"Gabe Speier",17170,642100
2024,"Jalen Beeks","- - -",70,3.10642158173577,,-0.8107971263722786,,,-7.545397758483887,7.205492655436198,-4.352351725101471,,,8.721842649352826,-5.779829025268555,,"Jalen Beeks",17192,656222
2024,"Ranger Suárez","PHI",150.2,3.621404909620098,,-1.4648666649533992,,,9.270890661901147,-3.9924468994140625,-6.2112700973731885,,,6.547090530395508,,,"Ranger Suarez",17277,624133
2024,"Michael Kopech","- - -",67.2,-6.261618565344864,,1.5018760999043783,,,,2.355920166015625,,,,,,,"Michael Kopech",17282,656629
2024,"Framber Valdez","HOU",176.1,5.861817932128906,,,,,9.725877509987384,-1.3608852113996233,-6.071701068573185,,,8.721764114984857,,,"Framber Valdez",17295,664285
2024,"Emmanuel Ramirez","MIA",20.2,-0.7498281459615688,,,-2.679823158431227,,,6.5391722785101996,,,,,,,"Emmanuel Ramirez",17304,642629
